account,total_time_seconds,total_gold,total_elixir,total_dark_elixir,stars_0,stars_1,stars_2,stars_3,attacks,walls_upgraded
lewis,256433.16084194183,1931484810.0,1902904949.0,15511817.0,36.0,302.0,497.0,1015.0,1850.0,393.0
williamleeming,635804.1314692497,3584064448.0,3527309765.0,29842111.0,559.0,1622.0,1178.0,860.0,4219.0,2199.0
steve,19035.115968227386,81901078.0,74682144.0,862103.0,3.0,38.0,17.0,89.0,147.0,9.0
lewis8,36826.9315905571,104632222.0,102203257.0,907439.0,4.0,7.0,18.0,268.0,297.0,30.0
lewis7,19756.544551849365,65696011.0,61224595.0,599851.0,3.0,13.0,10.0,140.0,166.0,0.0
lewis6,24294.17806315422,60407728.0,62417502.0,550982.0,6.0,8.0,17.0,152.0,183.0,324.0
lewis5,13724.745337963104,47675962.0,45824782.0,459077.0,1.0,2.0,8.0,101.0,112.0,0.0
lewis4,22236.660732269287,54404613.0,53810965.0,556444.0,2.0,21.0,28.0,122.0,173.0,244.0
lewis3,19688.08349108696,46644270.0,49919627.0,418114.0,1.0,11.0,13.0,142.0,167.0,265.0
djbillgates24,12241.599344968796,4113977.0,3704148.0,1259.0,45.0,17.0,9.0,46.0,117.0,0.0
djbillgates23,12262.301023244858,6047065.0,5050794.0,2222.0,35.0,13.0,12.0,58.0,118.0,0.0
djbillgates25,9872.314937114716,5893090.0,4148184.0,3781.0,53.0,8.0,6.0,30.0,97.0,0.0
djbillgates26,10138.728288412094,5569964.0,6580574.0,2150.0,46.0,12.0,10.0,30.0,98.0,0.0
djbillgates27,5186.448228597641,2970920.0,2474441.0,1821.0,22.0,2.0,4.0,22.0,50.0,0.0
djbillgates28,4328.8759570121765,2044188.0,3627272.0,96.0,14.0,3.0,3.0,23.0,43.0,0.0
djbillgates29,2763.463558912277,1833480.0,2338841.0,236.0,7.0,0,0,20.0,27.0,0.0
djbillgates22,3894.733060359955,1789117.0,2477482.0,218.0,29.0,6.0,1.0,2.0,38.0,0.0
djbillgates30,16132.893192768097,1180240.0,1042508.0,4434.0,127.0,10.0,8.0,26.0,171.0,0.0
djbillgates31,14886.228567123413,965876.0,1175444.0,609.0,86.0,19.0,8.0,28.0,141.0,0.0
djbillgates32,14668.983221530914,765748.0,1544101.0,365.0,103.0,8.0,11.0,12.0,134.0,0.0
djbillgates33,2086.0889790058136,36689.0,38700.0,32.0,3.0,6.0,3.0,11.0,23.0,0.0
djbillgates34,1067.3523845672607,21204.0,13403.0,6.0,4.0,0,2.0,6.0,12.0,0.0
djbillgates35,1714.0766870975494,20727.0,42826.0,13.0,6.0,2.0,3.0,4.0,15.0,0.0
djbillgates40,718.9572093486786,12713.0,14588.0,7.0,1.0,3.0,0,2.0,6.0,0.0
djbillgates41,465.2862756252289,9482.0,11286.0,8.0,0,0,2.0,3.0,5.0,0.0
